customer_id,customer_name,email,region,signup_date
C00001,Casey Ball,margareteaton@example.com,North,2025-02-15
C00002,Stephanie Simpson,doyleelijah@example.net,North,2022-06-25
C00003,Joseph Vega,odavis@example.net,East,2025-01-23
C00004,Amanda Burnett,guerrerobrian@example.org,South,2023-01-29
C00005,Edward Valdez,isaiahreynolds@example.com,South,2023-12-07
C00006,Jimmy Baker,teresa85@example.net,South,2023-04-07
C00007,Christina Patton,churchtina@example.org,North,2022-07-15
C00008,Charles Mason,lisa80@example.org,Central,2025-04-05
C00009,John Austin,petersonadriana@example.org,North,2024-03-20
C00010,Kimberly Bell,fsharp@example.org,Central,2023-10-29
C00011,Fernando Sims,henryyoung@example.net,West,2024-10-17
C00012,Michelle Pena,yvette49@example.org,North,2023-01-17
C00013,Michael Oconnor,bwade@example.com,North,2024-04-26
C00014,Michael Prince,dmorris@example.com,North,2022-12-01
C00015,Ashley Gilbert,hmckinney@example.org,South,2025-03-16
C00016,Tara Walker,vegastephanie@example.com,South,2024-02-23
C00017,William Hill,rmoody@example.net,Central,2022-09-17
C00018,Nicholas Peterson,saramoore@example.com,Central,2023-12-10
C00019,Brad Hall,ginamurphy@example.org,North,2024-07-21
C00020,Melissa Prince,lori69@example.com,Central,2022-06-27
C00021,Eric Donaldson,aarias@example.org,South,2022-02-22
C00022,Randall Holt,haasrussell@example.com,Central,2023-06-23
C00023,Tyler Pratt,joshuahayes@example.net,West,2023-06-05
C00024,Emily Parsons,john33@example.org,South,2024-12-08
C00025,Jacob Leach,jennifer18@example.org,West,2021-11-30
C00026,Eugene Hoffman,andrew65@example.net,Central,2021-07-01
C00027,Misty Gentry,beverly32@example.net,East,2023-04-07
C00028,Robert Davis,robert06@example.com,North,2024-01-15
C00029,Rick Hall,brandy46@example.com,South,2022-08-03
C00030,Teresa Martinez,gmckenzie@example.com,West,2023-05-11
C00031,Christine Chavez,khenry@example.org,East,2022-02-20
C00032,Mrs. Andrea Sawyer DDS,sandrakeller@example.org,East,2024-11-23
C00033,Cynthia Miller,john49@example.net,South,2025-03-13
C00034,Veronica Camacho,aprilsimpson@example.org,South,2025-02-27
C00035,Laura Wiley,leethomas@example.org,East,2022-06-08
C00036,Mikayla Moss,justingoodman@example.org,North,2023-08-10
C00037,Michael Hayes,parsonsandre@example.com,North,2024-03-02
C00038,Jeanne Chapman,schaeferkendra@example.org,West,2024-06-20
C00039,Barbara Hoover,nhaley@example.org,North,2022-10-21
C00040,John Lee,whitakerscott@example.net,East,2023-08-27
C00041,Zoe Cortez,buckapril@example.com,East,2021-06-22
C00042,Norman Hill,mcgeejennifer@example.org,Central,2022-09-30
C00043,Natalie Curtis,rfriedman@example.com,East,2023-04-13
C00044,Cynthia Johnson,kbentley@example.org,North,2024-12-05
C00045,Wendy Barker,jordanrobert@example.org,West,2021-09-14
C00046,Brandon Brooks,tammyanderson@example.com,Central,2025-03-06
C00047,Audrey Brown,scott55@example.net,North,2022-04-30
C00048,Travis Myers,donaldayala@example.org,West,2021-10-24
C00049,Matthew Davis,alexishayes@example.com,North,2024-10-10
C00050,David Booth,alexanderfox@example.com,Central,2022-07-12
C00051,Megan Evans,joshuamorris@example.com,East,2023-01-21
C00052,Paul Lee,coryrice@example.net,Central,2025-04-01
C00053,Lynn Carlson,christina24@example.net,East,2024-07-19
C00054,Stephanie Gill,ashleyeric@example.org,Central,2025-02-04
C00055,Maureen Young,diazjustin@example.org,South,2024-04-13
C00056,Jennifer Harris,cannonchristopher@example.net,North,2024-09-03
C00057,Max Hall,pmiranda@example.org,North,2022-11-20
C00058,Peter Wright,grangel@example.net,South,2022-08-19
C00059,Mckenzie Hall,david92@example.org,East,2024-02-15
C00060,Larry Odom,vrice@example.net,North,2023-03-13
C00061,Ryan Sparks,wjohnson@example.org,South,2023-10-03
C00062,Maria Nunez,cclark@example.org,North,2022-06-24
C00063,Robert Brady,justingonzalez@example.net,West,2024-09-09
C00064,Melissa Cohen,mfisher@example.com,East,2021-06-08
C00065,Antonio Williams,michelle08@example.com,West,2021-10-27
C00066,Daniel Williams,gbrown@example.net,East,2024-03-03
C00067,Brenda Henry,brianking@example.com,South,2024-02-24
C00068,Randy Payne,mccalljulia@example.net,East,2023-02-15
C00069,Bryan Anderson,tmclaughlin@example.net,East,2025-02-11
C00070,John Ramos,tiffanybaker@example.org,South,2023-12-25
C00071,Vicki Dominguez,nchan@example.org,East,2025-03-17
C00072,Colleen Mathews,davidross@example.com,North,2021-12-09
C00073,Robert Erickson,emilymiller@example.net,Central,2023-08-09
C00074,Ann Jones,sarah22@example.org,South,2022-04-03
C00075,Kathryn Smith,davisrobert@example.net,Central,2022-04-19
C00076,Edward Marquez,rivasbecky@example.org,South,2023-09-24
C00077,Caleb Grant,gomezkrista@example.org,South,2022-04-24
C00078,Deanna Taylor,jenkinsscott@example.com,West,2022-08-24
C00079,Brian Christensen,deancarlson@example.com,West,2021-11-27
C00080,Joseph Campbell,wagnertimothy@example.net,East,2025-03-29
C00081,Katherine Campos,yoderrobert@example.com,Central,2021-07-15
C00082,Richard Wilson,hendrickssherri@example.org,South,2023-12-31
C00083,Anthony Moore,lneal@example.net,East,2021-10-05
C00084,Deborah Rojas,kdonovan@example.org,North,2024-05-28
C00085,Tonya Meyer,charlesbrock@example.net,South,2022-10-22
C00086,George Alexander,morgan72@example.com,North,2022-08-30
C00087,Travis Davis,sarawilliams@example.com,East,2024-04-03
C00088,David Clark,ehenderson@example.org,West,2024-12-31
C00089,Bethany Shah,kenneth42@example.com,East,2022-02-01
C00090,Jason Contreras,joseph06@example.com,North,2021-08-16
C00091,Rebecca Cox,darrenmurphy@example.net,South,2022-05-09
C00092,Dr. Christine Crawford MD,changpatrick@example.net,Central,2022-12-23
C00093,Katherine Smith MD,escott@example.com,East,2023-07-04
C00094,Denise Thompson,jonesdavid@example.com,South,2022-07-29
C00095,Scott Klein,smithspencer@example.net,West,2024-02-23
C00096,Cassandra Lowery,vsmith@example.net,West,2023-08-17
C00097,Thomas Gonzalez,lisamathews@example.com,West,2024-04-25
C00098,Zachary Horn,harmoncameron@example.net,South,2021-07-04
C00099,George Thomas,martinezjonathan@example.com,East,2022-04-09
C00100,Stephen Johnson,johnwilliams@example.com,South,2021-07-28
C00101,Sandra Lawson,mejiamario@example.net,South,2025-02-10
C00102,Marcus Jones,xlee@example.com,Central,2022-12-21
C00103,Gene Wilkins,michael46@example.net,Central,2025-01-04
C00104,Brent Collins,jsmith@example.com,East,2022-08-28
C00105,Kenneth James,jamie28@example.net,Central,2021-05-08
C00106,Charles Johnston,phowell@example.net,West,2024-11-21
C00107,Joe Ramirez,tara57@example.com,Central,2023-12-09
C00108,Veronica Gates,larry48@example.com,West,2023-11-27
C00109,Mr. Joshua Vargas,millerjeffrey@example.com,East,2024-01-22
C00110,James Washington,bethhamilton@example.org,South,2024-12-24
C00111,Sara Bailey,sheila74@example.com,South,2025-03-05
C00112,James Little,tapiawillie@example.com,Central,2023-02-24
C00113,David Caldwell,jacquelinewells@example.org,West,2023-02-13
C00114,Luis Watkins,ericbrock@example.net,North,2023-05-18
C00115,Steven Wilson,bellsteven@example.net,North,2021-12-23
C00116,Jasmine Charles,ubennett@example.com,North,2024-03-09
C00117,Tyler Zuniga DDS,mccarthychristopher@example.org,South,2025-02-10
C00118,Barry Hunter,whiteduane@example.net,South,2024-04-11
C00119,Sara Lawrence,sarah32@example.com,West,2024-09-08
C00120,Brandon Johnson,marymoore@example.org,Central,2023-10-07
C00121,Colleen Villa,cory42@example.com,North,2021-06-27
C00122,Timothy Griffin,timsmith@example.org,West,2022-05-05
